trip_id,stop_id,arrival,departure
58556123,2668,81794,81794
58556123,2669,81831,81831
58556123,2670,81846,81846
58556123,2671,81864,81864
58556123,2672,81896,81896
58556123,2673,81925,81925
58556123,2628,81978,81978
58556123,5104,82001,82001
58556123,2631,82123,82123
58556123,2632,82155,82155
58556123,2634,82188,82188
58556123,2635,82211,82211
58556123,2715,82228,82228
58556123,2636,82244,82244
58556123,2637,82273,
58556121,2637,,82680
58556121,2575,82716,82716
58556121,2576,82728,82728
58556121,2577,82741,82741
58556121,2579,82784,82784
58556121,2580,82808,82808
58556121,2581,82846,82846
58556121,2582,82918,82918
58556121,2583,82950,82950
58556121,2584,83009,83009
58556121,2586,83036,83036
58556121,2587,83060,83060
58556121,2588,83087,83087
58556121,2589,83140,83140
58556121,2590,83185,83185
58556121,2591,83203,83203
58556121,2593,83283,83283
58556121,2594,83334,83334
58556121,2595,83365,83365
58556121,2510,83392,83392
58556121,2597,83521,83521
58556121,2598,83599,83599
58556121,2599,83619,83619
58556121,2600,83684,83684
58556121,2601,83725,83725
58556121,70500,83788,
58848276,70053,81770,81807
58848276,70051,81871,81910
58848276,70049,82032,82069
58848276,70047,82136,82180
58848276,70045,82293,82345
58848276,70043,82434,82478
58848276,70041,82507,82553
58848276,70039,82589,82641
58848276,70838,82675,
58403793,110,,
58403793,66,,
58403793,67,,
58403793,68,,
58403793,69,,
58403793,71,,
58403793,72,,
58403793,73,,
58403793,74,,
58403793,75,,
58403793,77,,
58403793,79,,
58403793,80,,
58403793,82,,
58403793,187,,
58403793,84,,
58403793,59,,
58403793,854,,
58403793,856,,
58403793,10100,,
58403793,10101,,
58403793,62,,
58403793,63,,
58403793,64,,
58634873,74630,,82920
58634873,74632,82993,82993
58634873,74634,83038,83038
58634873,74636,83127,83127
58634873,7097,83338,83338
58634873,17096,83753,83753
58634873,74614,83893,83893
58634873,74615,84020,84020
58634873,74616,84092,84092
58634873,74617,84227,
58403415,64,,
58403415,1,,
58403415,2,,
58403415,6,,
58403415,10003,,
58403415,57,,
58403415,58,,
58403415,10590,,
58403415,87,,
58403415,188,,
58403415,89,,
58403415,91,,
58403415,93,,
58403415,95,,
58403415,97,,
58403415,99,,
58403415,101,,
58403415,102,,
58403415,104,,
58403415,106,,
58403415,107,,
58403415,108,,
58403415,109,,
58403415,110,,
58634368,74611,,84499
58634368,74612,84606,84606
58634368,74613,84747,84747
58634368,74624,84832,84832
58634368,247,84909,84909
58634368,30249,84945,84945
58634368,30250,84969,
58471903,2832,81830,81830
58471903,5611,82299,82299
58471903,5612,82338,82338
58471903,5613,82400,82400
58471903,5614,82442,82442
58471903,5615,82491,82491
58471903,56170,82542,82542
58471903,5618,82590,82590
58471903,5619,82616,82616
58471903,5620,82628,82628
58471903,5621,82670,82670
58471903,5623,82700,82700
58471903,5624,82738,82738
58471903,5625,82758,82758
58471903,5626,82814,82814
58471903,5627,82852,82852
58471903,5628,82895,82895
58471903,5629,82915,82915
58471903,5630,82931,82931
58471903,5631,82951,82951
58471903,5632,82983,82983
58471903,5633,83010,83010
58471903,5636,83037,83037
58471903,5547,83046,
58646283,70009,81797,81842
58646283,70011,81893,81911
58646283,70013,81985,82032
58646283,70015,82109,82159
58646283,70017,82232,82282
58646283,70019,82314,82375
58646283,70021,82441,82506
58646283,70023,82566,82635
58646283,70025,82657,82700
58646283,70027,82730,82786
58646283,70029,82898,82946
58646283,70031,83168,83251
58646283,70279,83343,83397
58646283,70033,83556,83618
58646283,70035,83792,83848
58646283,70036,83998,
58870423,334,,
58870423,536,,
58870423,537,,
58870423,496,,
58870423,494,,
58870423,501,,
58870423,497,,
58870423,498,,
58870423,499,,
58870423,540,,
58870423,10540,,
58870423,541,,
58870423,542,,
58870423,543,,
58870423,544,,
58870423,9406,,
58870423,545,,
58870423,546,,
58870423,11522,,
58870423,547,,
58870423,875,,
58404013,899,,85200
58404013,8993,85242,85242
58404013,1518,85255,85255
58404013,1519,85285,85285
58404013,1520,85332,85332
58404013,1777,85438,85438
58404013,1778,85456,85456
58404013,1521,85482,85482
58404013,1523,85510,85510
58404013,1524,85542,85542
58404013,1525,85582,85582
58404013,11366,85614,85614
58404013,1527,85659,85659
58404013,1528,85710,85710
58404013,1529,85720,85720
58404013,15291,85737,85737
58404013,1530,85766,85766
58404013,1531,85788,85788
58404013,1532,85817,85817
58404013,1533,85861,85861
58404013,1534,85883,85883
58404013,1535,85940,85940
58404013,15351,85959,85959
58404013,1536,85977,85977
58404013,1539,86023,86023
58404013,1540,86044,86044
58404013,1965,,
58404013,19661,86185,
58403815,82,81836,81836
58403815,187,81904,81904
58403815,84,82000,82000
58403815,59,82128,82128
58403815,854,82187,82187
58403815,856,82210,82210
58403815,10100,82270,82270
58403815,10101,82311,82311
58403815,62,82375,82375
58403815,63,82385,82385
58403815,64,82437,
ADDED-1581696963,70177,81846,81882
ADDED-1581696963,70175,81993,82035
ADDED-1581696963,70173,82151,82192
ADDED-1581696963,70171,82370,82412
ADDED-1581696963,70169,82493,82530
ADDED-1581696963,70167,82606,82641
ADDED-1581696963,70165,82722,82753
ADDED-1581696963,70163,82856,82898
ADDED-1581696963,70161,83010,
58555951,141,81553,
58404504,1577,81810,81810
58404504,1578,81858,81858
58404504,1579,81896,81896
58404504,1580,81915,81915
58404504,1581,81971,81971
58404504,1582,81999,81999
58404504,15820,82017,82017
58404504,1583,82049,82049
58404504,1584,82097,82097
58404504,1585,82144,82144
58404504,1586,82158,82158
58404504,413,82239,82239
58404504,414,82247,82247
58404504,1587,82372,82372
58404504,1565,82382,
58634446,10642,,83760
58634446,1936,83760,83760
58634446,1937,83790,83790
58634446,1128,83816,83816
58634446,1129,83867,83867
58634446,1130,83908,83908
58634446,1132,83932,83932
58634446,11131,83975,83975
58634446,6570,84011,84011
58634446,6571,84040,84040
58634446,6573,84075,84075
58634446,65741,84104,84104
58634446,6575,84131,84131
58634446,1315,84196,84196
58634446,1317,84256,84256
58634446,21317,84339,84339
58634446,31317,84387,84387
58634446,51317,84443,84443
58634446,71317,84474,84474
58634446,81317,84528,84528
58634446,91317,84566,84566
58634446,11389,84634,84634
58634446,174,84691,84691
58634446,175,84748,84748
58634446,143,84781,84781
58634446,23391,84840,
58404515,17863,,83700
58404515,11257,83887,83887
58404515,1259,83920,83920
58404515,11323,83933,83933
58404515,11259,83963,83963
58404515,64000,84150,84150
58404515,40001,84346,84346
58404515,1340,84382,84382
58404515,1341,84413,84413
58404515,1342,84434,84434
58404515,1344,84465,84465
58404515,1345,84515,84515
58404515,1346,84544,84544
58404515,1350,84596,84596
58404515,1351,84635,84635
58404515,1352,84681,84681
58404515,1353,84715,84715
58404515,1354,84729,84729
58404515,1742,84789,84789
58404515,1743,84875,84875
58404515,1188,84915,84915
